Epoch	TestStd
260	1.642818945646286
261	1.6329200565814972
262	1.632278597354889
263	1.6356632888317109
264	1.6262236773967742
265	1.6284063100814818
266	1.6394991874694824
267	1.6322398722171783
268	1.6312945783138275
269	1.6354268074035645
270	1.6354209780693054
271	1.6353886544704437
272	1.6291123807430268
273	1.6366719543933868
274	1.6404320478439331
275	1.641483300924301
276	1.6339336276054381
277	1.6323261559009552
278	1.635868489742279
279	1.6314645171165467
280	1.630688375234604
281	1.6316482245922088
282	1.636216115951538
283	1.6362724363803864
284	1.6387467682361603
285	1.6349541664123535
286	1.6311580181121825
287	1.6312029719352723
288	1.6269068837165832
289	1.6299127519130707
290	1.6406023621559143
291	1.6333879768848418
292	1.634153962135315
293	1.62783722281456
294	1.638055044412613
295	1.6382326900959014
296	1.634442150592804
297	1.6327505707740784
